Unnamed: 0,Name,Price,CPU,Type_CPU,RAM,Graphic,Weight,Score_star,Vote,Brand,SSD
48,Laptop Dell Vostro 3590 V5I3505W,12790000,Intel Core i3,10110U,4 GB GB,Intel UHD Graphics,,0.0,0,Dell,0
49,Laptop Asus X509F-EJ153T,13990000,Core i5,8265U,4 GB,NVIDIA GeForce MX230 2GB GDDR5,1.8 kg,0.0,0,Asus,0
50,Laptop HP Pavilion 15 CS2033TU 6YZ14PA Xám,14990000,Intel Core i5,8265U,4 GB,Intel HD Graphics 620,1.85 kg,0.0,0,HP,0
51,Laptop HP Pavilion 15 CS2034TU 6YZ06PA Vàng,14990000,Intel Core i5,8265U,4 GB,Intel HD Graphics 620,1.85 kg,0.0,0,HP,0
52,Laptop HP ProBook 430 G6 (5YN22PA),15990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.49 kg,0.0,0,HP,1
53,Laptop HP Pavilion 15 CS2057TX (6YZ20PA) Xám,15990000,Intel Core i5,8265U,4 GB,MX130,1.85 kg,0.0,0,HP,0
54,Laptop HP Pavilion X36014-DH0104TU,15990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.607 kg,0.0,0,HP,0
55,Laptop Dell Inspiron 15 5000 5593 N5I5402W,16990000,Core i5,1035G1,4 GB,NVIDIA GeForce MX230 2GB,,0.0,0,Dell,1
56,Laptop Acer Aspire A315-42-R8PX,10690000,AMD Ryzen™ 3,3200U,8 GB,AMD Radeon™ Vega 3 Graphics,,0.0,0,Acer,1
57,Laptop Asus X409FJ-EK137T,17990000,Intel Core i7,8265U,4 GB,NVIDIA GeForce MX230,1.6 kg,0.0,0,Asus,1
58,LAPTOP HP 15-DA1031TX (5NK55PA),14990000,Intel Core i5,8265U,4 GB,NVIDIA GeForce MX110,1.77 kg,0.0,0,HP,0
59,Laptop Dell Vostro 5490 V4I5106W,17990000,Intel Core i5,10210U,8 GB,Intel UHD Graphics 620,1.49 kg,0.0,0,Dell,1
60,Laptop Dell Vostro 5370 (V5370B),20490000,Core i5,8250U,8 GB,AMD Radeon 530,,0.0,0,Dell,1
61,LAPTOP HP PROBOOK 430 G6 (5YN00PA),16990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.4 kg,0.0,0,HP,1
62,Laptop Acer Aspire A315-54-52HT,12990000,Core i5,10210U,4 GB,Intel UHD Graphics 620,,0.0,0,Acer,1
63,Laptop Asus A512FA EJ1170T,12990000,i3,8145U,4 GB,,1.8 kg,0.0,0,Asus,1
64,Laptop Asus A512FA-EJ837T,12990000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.7 kg,0.0,0,Asus,1
65,Laptop Acer A514-52-516K (NX.HMHSV.002),13990000,Intel Core i5,10210U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,Acer,1
66,Laptop Acer Aspire A315-54-59ZJ,13990000,Core i5,10210U,8 GB,Intel UHD Graphics,,0.0,0,Acer,1
67,Laptop Asus S431FA-EB511T,18600000,Core i5,8265U,8 GB,Intel UHD Graphics 620,1.4 kg,0.0,0,Asus,1
68,Laptop Asus FX505DU-AL070T,25990000,AMD Ryzen™ 7,3750H,8 GB,NVIDIA GeForce® GTX 1660Ti,2.2 kg,0.0,0,Asus,1
69,Laptop Dell Inspiron 13 7000 2-in-1,26490000,Core i5,10210U,8 GB,Intel UHD Graphics,1.4 kg,0.0,0,Dell,1
70,Laptop HP Pavilion Gaming 15 DK0001TX (7HR11PA),23990000,Core i5,9300H,8 GB,NVIDIA GeForce GTX 1650 GDDR5,2.23 kg,0.0,0,HP,0
71,LAPTOP LENOVO IDEAPAD 330-14IKBR 81G2007BVN,10990000,Intel Core i5,8250U,4 GB,UHD Intel® 620,2.1 kg,0.0,0,LENOVO,0
72,Laptop HP 14 CK1004TU (5QH84PA),13990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.47 kg,0.0,0,HP,0
73,Laptop Macbook Air 13.3 Inch 2017 (MQD32SA/A),21490000,Intel Core i5,Dual Core,,Intel HD Graphics 6000,1.35 kg,4.9,10,Macbook,1
74,LAPTOP DELL INSPIRON 3480 (N4I5107W) BẠC,13390000,Intel Core i5,8265U,4 GB,Intel HD Graphics 620,1.66 kg,3.0,1,DELL,0
75,LAPTOP HP ENVY 13-AQ0027TU (6ZF43PA),26990000,Intel Core i7,8565U,8 GB,Intel UHD Graphics 620,1.18 kg,0.0,0,HP,1
76,LAPTOP HP PAVILION 15-CS2056TX,15990000,Intel Core i5,8265U,4 GB,NVIDIA GeForce MX 130,,0.0,0,HP,0
77,LAPTOP HP PAVILION X36014-DH0103TU,13590000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.65 kg,0.0,0,HP,0
78,LAPTOP HP PAVILION 14-CE2039TU,14990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,HP,0
79,LAPTOP HP PAVILION 14-CE2038TU,14990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,HP,0
80,LAPTOP HP PAVILION 14-CE2041TU,14990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,HP,0
81,LAPTOP DELL VOSTRO 3480,13590000,Intel Core i5,8265U,8 GB,Intel HD Graphics 620,1.9 kg,0.0,0,DELL,0
82,LAPTOP ASUS A412FA-EK153T BẠC,15990000,Core i5-8265U,8145U,4 GB,Intel UHD Graphics 620,1.5 kg,0.0,0,ASUS,0
83,Laptop HP 15S-DU0062TU (6ZF73PA),13990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics,1.74 kg,0.0,0,HP,0
84,Laptop HP Pavilion 15-CS2031TU (6YZ03PA),12990000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.85 kg,0.0,0,HP,0
85,Laptop HP Pavilion 15-CS2032TU (6YZ04PA),12990000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.85 kg,0.0,0,HP,0
86,Laptop HP Pavilion 15-CS2035TU (6YZ08PA),15990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.85 kg,0.0,0,HP,0
87,Laptop Asus Vivobook A512FA-EJ099T,10990000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.7 kg,0.0,0,Asus,0
88,LAPTOP HP ENVY 13-AQ0026TU (6ZF38PA),20990000,Intel Core i5,8265U,8 GB,Intel UHD Graphics 620,1.18 kg,0.0,0,HP,1
89,Laptop Dell Inspiron 3580 (70194511),13590000,Intel Core i5,8265U,4 GB,AMD Radeon 520,2.19 kg,4.7,10,Dell,0
90,Laptop Dell Vostro 5581 (70194501),13990000,Intel Core i5,8265U,4GB GB,Intel UHD Graphics 620,1.9 kg,4.6,10,Dell,0
91,Laptop Asus S531FA (BQ105T),19290000,Intel Core i5,8265U,8 GB,Intel UHD Graphics 620,1.8 kg,0.0,0,Asus,1
92,Laptop Asus S531FL (BQ190T),20790000,Intel Core i5,8265U,8 GB,NVIDIA GeForce MX250,1.8 kg,0.0,0,Asus,1
93,Laptop Asus A412F-EK224T,16990000,Core i5,8265U,8 GB,Intel UHD Graphics 620,1.4 kg,0.0,0,Asus,1
94,Laptop Dell Inspiron N3567,9990000,Intel Core i3,7020U,4 GB,Intel® HD Graphics 620,,4.4,10,Dell,0
95,Laptop HP ProBook 455 G6 6XA63PA,16990000,AMD Ryzen™ 7,2700U,8 GB,,2.0 kg,4.5,10,HP,1
96,Laptop Asus D570DD-E4028T,16690000,AMD Quad Core,R5-3500U,8 GB,NVIDIA GeForce GTX 1050,,0.0,0,Asus,1
97,Laptop Dell Inspiron N3593 (P75F013N93B),14590000,Intel Core i5,1035G1,4 GB,,,0.0,0,Dell,0
98,Laptop Dell Vostro V3590A (P75F010N90A),15990000,Intel Core i5,10210U,4 GB,AMD 610 GDDR5,,0.0,0,Dell,0
99,Laptop HP 15S-DU1037TX (8RK37PA),17190000,Core i5,10210U,8 GB,,1.74 kg,0.0,0,HP,1
100,Laptop HP 15S-DU1040TX (8RE77PA),18690000,Intel Core i7,10510U,8 GB,,1.74 kg,0.0,0,HP,1
101,Laptop Asus X409FA-EK201T,13590000,Core i5,8265U,4 GB,Intel UHD Graphics 620,1.5 kg,0.0,0,Asus,1
102,Laptop MSI GF63 9RCX-645VN I7/8/512/4G/VX,23190000,Intel Core i7,9750H,8 GB,Nvidia GTX 1050Ti + UHD 630,2.3 kg,0.0,0,MSI,1
103,Laptop Asus S531FA-BQ154T,18590000,Core i5,8265U,8 GB,Intel UHD Graphics 620,1.75 kg,0.0,0,Asus,1
104,Laptop Dell Inspiron N3593 (P75F013N93A),12590000,Intel Core i3,1005G1,4 GB,,,0.0,0,Dell,0
105,LAPTOP HP PROBOOK 440 G6 (5YM63PA),12990000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,HP,0
106,LAPTOP HP PROBOOK 440 G6 (6FG86PA),22990000,Intel Core i7,8565U,8 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,HP,1
107,MACBOOK AIR 13.3 INCH 2019 128GB SPACE GRAY (MVFH2SA/A),27990000,Intel Core i5,Dual‑core 8th‑gen,8 GB,Intel UHD Graphics 617,1.25 kg,0.0,0,MACBOOK,1
108,LAPTOP DELL LATITUDE 5490 (70156591),21990000,Intel Core i5,8350U,8 GB,Intel UHD Graphics 620,1.8 kg,0.0,0,DELL,1
109,Laptop Acer Swift 3 SF314-41-R8VS R5 (NX.HFDSV.002),14490000,AMD Ryzen™ 5,3500U,4 GB,Vega 8,1.5 kg,0.0,0,Acer,1
110,LAPTOP HP 15S-DU0041TX (6ZF66PA),17990000,Intel Core i7,8565U,8 GB,NVIDIA GeForce MX130,1.74 kg,0.0,0,HP,0
111,LAPTOP DELL V5481 (P92G001V81A),19590000,Intel Core i5,8265U,4 GB,NVIDIA GeForce MX130,1.55 kg,0.0,0,DELL,0
112,LAPTOP ASUS S530FA-BQ185T,13690000,Intel Core i3,8145U,4 GB,,1.78 kg,0.0,0,ASUS,0
113,Laptop Asus P1440FA-FA0420T,11590000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,Asus,1
114,LAPTOP ACER ASPIRE A315-325E (NX.GNPSV.037),8899000,Intel Core i3,7200U,4 GB,Intel HD Graphics 620,1.91 kg,0.0,0,ACER,0
115,MACBOOK PRO 13.3 2019 256GB TOUCH BAR GREY (MV962SA/A),44490000,Intel Core i5,Quad-core,8 GB,Intel Iris Plus Graphics 655,1.37 kg,0.0,0,MACBOOK,1
116,LAPTOP DELL INSPIRON 5584 - N5I5413W-BẠC,19990000,Intel Core i5,8265U,8 GB,NVIDIA GeForce MX130,1.95 kg,0.0,0,DELL,1
117,LAPTOP ASUS VIVOBOOK S15 S530UN-BQ198T,21090000,Intel Core i7,8550U,8 GB,NVIDIA GeForce MX150,1.79 kg,1.0,1,ASUS,0
118,LAPTOP ASUS VIVOBOOK A512FA-EJ571T,12390000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.7 kg,0.0,0,ASUS,1
119,Laptop Asus UM462DA- AI091T,19990000,AMD Ryzen™ 5,3500U,8 GB,Radeon™ Vega 8 Graphics,1.6 kg,0.0,0,Asus,1
120,LAPTOP ASUS VIVOBOOK A512FA-EJ571T,12390000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.7 kg,0.0,0,ASUS,1
121,Laptop Asus UM462DA- AI091T,19990000,AMD Ryzen™ 5,3500U,8 GB,Radeon™ Vega 8 Graphics,1.6 kg,0.0,0,Asus,1
122,Laptop Asus S430FA-EB459T,13490000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.54 kg,0.0,0,Asus,1
123,LAPTOP ASUS FX505D-AL003T,22490000,AMD Ryzen™ 7,3750H,8 GB,Intel UHD Graphics 620,2.2 kg,0.0,0,ASUS,1
124,MACBOOK AIR 13.3 INCH 2019 128GB GOLD (MVFM2SA/A),27990000,Intel Core i5,Dual‑core 8th‑gen,8 GB,Intel UHD Graphics 617,1.25 kg,0.0,0,MACBOOK,1
125,LAPTOP ACER SWIFT 3 SF315-52-52Z7- NX.GZBSV.004,15190000,Intel Core i5,8250U,4 GB,Intel HD Graphics 620,1.6 kg,0.0,0,ACER,0
126,Laptop Dell Inspiron 15 5000 5593 N5I5513W,19990000,Core i5,1035G1,8 GB,NVIDIA,,0.0,0,Dell,1
127,LAPTOP ACER ASPIRE 7 A715-72G-50NA (NH.GXBSV.001),16990000,Intel Core i5,8300H,8 GB,NVIDIA GeForce® GTX 1050,2.4 kg,0.0,0,ACER,0
128,LAPTOP ACER SWIFT SF114-32-P2SG NX.GZISV.001,9990000,Intel Pentium,N5000,4 GB,Intel UHD Graphics 605,1.4 kg,0.0,0,ACER,0
129,LAPTOP ACER ASPIRE A515-53-3153,11690000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 605,2.0 kg,0.0,0,ACER,0
130,LAPTOP LENOVO L340-15IRH (81LK007JVN),19990000,Intel Core i7,9750H,8 GB,GTX 1050,2.2 kg,0.0,0,LENOVO,0
131,LAPTOP LENOVO THINKPAD E490S 20NGS01N00,21490000,Intel Core i7,8565U,8 GB,Intel HD Graphics 620,2.82 kg,0.0,0,LENOVO,1
132,LAPTOP ACER ASPIRE A515-53-30QH (NX.H6BSV.003),11190000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,2.072 kg,0.0,0,ACER,0
133,LAPTOP LENOVO THINKPAD L390 20NRS00100,19790000,Intel Core i5,8265U,4 GB,Intel HD Graphics 620,1.46 kg,0.0,0,LENOVO,1
134,Laptop Asus A412F-EK223T,11990000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,,0.0,0,Asus,1
135,MACBOOK PRO 13.3 2019 256GB TOUCH BAR SILVER (MV992SA/A),44490000,Intel Core i5,Quad-core,8 GB,Intel Iris Plus Graphics 655,1.37 kg,0.0,0,MACBOOK,1
136,LAPTOP ASUS A510UA-EJ1217T,10590000,Intel Core i3,8130U,4 GB,Intel UHD Graphics 620,1.78 kg,0.0,0,ASUS,0
137,Laptop Asus S330FN (EY037T),19990000,Intel Core i5,8265U,8 GB,NVIDIA GeForce MX150,1.2 kg,0.0,0,Asus,1
138,LAPTOP ASUS S510UA-BQ1249T,14990000,Intel Core i5,8250U,4 GB,Intel UHD Graphics,1.78 kg,0.0,0,ASUS,0
139,LAPTOP ASUS X509FJ- EJ053T,13890000,Intel Core i5,8265U,4 GB,NVIDIA GeForce MX230,1.8 kg,0.0,0,ASUS,0
140,LAPTOP DELL INSPIRON 15 5570 (M5I5238),16490000,Intel Core i5,8250U,4 GB,AMD Radeon 530 2GB GDDR5,2.3 kg,0.0,0,DELL,0
141,LAPTOP ASUS VIVO BOOK S530UA-BQ278T,15690000,Intel Core i5,8250U,4 GB,Intel® UHD Graphics 620,1.44 kg,0.0,0,ASUS,0
142,LAPTOP DELL INSPIRON 3580 (70188451),21390000,Intel Core i7,8565U,8 GB,AMD Radeon 520,2.19 kg,0.0,0,DELL,0
143,LAPTOP DELL INSPIRON 14 3476 70181694,17990000,Intel Core i7,8550U,8 GB,AMD Radeon 520,1.95 kg,0.0,0,DELL,0
144,LAPTOP ASUS VIVOBOOK S530UA - BQ177T,13290000,Intel Core i3,8130U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,ASUS,1
145,Macbook Pro 13 Touch Bar 512GB 2018 (MR9R2SA/A),48990000,Core i5,Quad-core,8 GB,Intel Iris Plus Graphics 655,1.37 kg,0.0,0,Macbook,1
146,MÁY TÍNH XÁCH TAY ASUS S510UA - BQ222T,12490000,Intel Core i3,8130U,4 GB,Intel HD Graphics 620,1.7 kg,0.0,0,MÁY,1
147,Laptop Acer A515-54-54EU (NX.HN3SV.002),15690000,Intel Core i5,10210U,8 GB,Intel UHD Graphics 620,1.7 kg,0.0,0,Acer,1
148,LAPTOP LENOVO L340-15IRH (81LK007HVN),16990000,Intel Core i5,9300H,8 GB,GTX 1050,2.2 kg,0.0,0,LENOVO,0
149,LAPTOP ACER SWIFT 3 SF314-54-58KB NX.GXZSV.002,17199000,Intel Core i5,8250U,4 GB,Intel UHD Graphics,1.5 kg,0.0,0,ACER,1
150,LAPTOP LENOVO THINKPAD E490S 20NGS01K00,18890000,Intel Core i5,8265U,8 GB,Intel HD Graphics 620,2.82 kg,0.0,0,LENOVO,1
151,Laptop Acer Swift 3 SF314-56-38UE,14199000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.5 kg,0.0,0,Acer,1
152,MACBOOK PRO 13 INCH 128GB 2017 (MPXQ2SA/A),32490000,Intel Core i5,Dual Core,8 GB,Intel Iris Plus Graphics 640,1.37 kg,0.0,0,MACBOOK,1
153,LAPTOP DELL INSPIRON 3580 (70188451),21390000,Intel Core i7,8565U,8 GB,AMD Radeon 520,2.19 kg,0.0,0,DELL,0
154,LAPTOP ASUS S530UA-BQ145T,12690000,Intel Core i3,8130U,4 GB,Intel UHD Graphics 620,1.8 kg,0.0,0,ASUS,0
155,Laptop HP Pavilion 15-CS3010TU (8QN78PA),13490000,Intel Core i3,1005G1,,Intel UHD Graphics,"1,693 kg",0.0,0,HP,0
156,Laptop Asus S530UA BQ034T,12690000,Intel Core i3,8130U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,Asus,0
157,LAPTOP ACER NITRO 5 AN515-52-51GF NH.Q3MSV.001,19000000,Intel Core i5,8300H,8 GB,NVIDIA GeForce GTX 1050,2.45 kg,0.0,0,ACER,0
158,LAPTOP LENOVO THINKPAD L390 20NRS00500,25390000,Intel Core i7,8565U,8 GB,Intel HD Graphics 620,1.46 kg,0.0,0,LENOVO,1
159,LAPTOP LENOVO LEGION Y530-15ICH (81FV00STVN),21990000,Intel Core i5,8300H,8 GB,Nividia GTX 1050,2.3 kg,0.0,0,LENOVO,1
160,LAPTOP DELL VOSTRO 13 5370 (7M6D51),19590000,Intel Core i5,8250U,4 GB,Intel UHD Graphics 620,1.4 kg,0.0,0,DELL,1
161,Laptop Asus G531GD (AL025T),20990000,Intel Core i5,9300H,8 GB,NVIDIA GeForce GTX 1050,2.395 kg,0.0,0,Asus,1
162,LAPTOP DELL INSPIRON 5584 - N5I5384W-BẠC,16590000,Intel Core i5,8265U,4 GB,NVIDIA GeForce MX130,1.95 kg,0.0,0,DELL,0
163,LAPTOP ASUS FX505GE-BQ052T,21490000,Intel Core i5,8300H,8 GB,NVIDIA GeForce GTX 1050Ti,2.2 kg,0.0,0,ASUS,0
164,Laptop Dell Latitude 3400 (70188730),14190000,Intel Core i3,8145U,8 GB,,,0.0,0,Dell,1
165,LAPTOP ASUS VIVOBOOK S410UN-EB210T,16490000,Intel Core i5,8250U,4 GB,NVIDIA GeForce MX150,1.4 kg,0.0,0,ASUS,0
166,LAPTOP LENOVO IDEAPAD S145 15IWL 81MV00F3V,7690000,Intel Pentium Gold,5405U,4 GB,Intel HD Graphics 610,1.6 kg,0.0,0,LENOVO,0
167,LAPTOP DELL INSPIRON 3480 (N4I5107W) ĐEN,13590000,Intel Core i5,8265U,4 GB,Intel HD Graphics 620,1.66 kg,0.0,0,DELL,0
168,Laptop Dell Inspiron 7591-N5I5591W,25290000,Core i5,9300H,8 GB,VGA NVIDIA,,0.0,0,Dell,1
169,MACBOOK PRO 13.3 2019 256GB TOUCH BAR GRAY (MUHP2SA/A),39490000,Intel Core i5,Quad‑core 8th‑gen,8 GB,Intel Iris Plus Graphics 645,1.37 kg,0.0,0,MACBOOK,1
170,LAPTOP ACER SPIN 3 SP314-51(NX.GUWSV.004),15000000,Intel Core i5,8250U,4 GB,Intel UHD Graphics 620,1.7 kg,0.0,0,ACER,0
171,MACBOOK PRO 13.3 2019 256GB TOUCH BAR SILVER (MUHR2SA/A),39490000,Intel Core i5,Quad‑core 8th‑gen,8 GB,Intel Iris Plus Graphics 645,1.37 kg,0.0,0,MACBOOK,1
172,Laptop Dell G3 15 3590 - N5I5518W,24990000,Core i5,9300H,8 GB,NVIDIA,,0.0,0,Dell,1
